"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Oct 28 21:08:57 CLST 2024","Mon Oct 28 21:08:58 CLST 2024","486","Default Suite","tecnova","tests.PurchaseFlowTest","tests.PurchaseFlowTest","step11_validateOrderInOrderHistory","Paso 11: Validar la orden en el historial de órdenes","Accede al historial de órdenes para validar que la compra se haya registrado correctamente."
"passed","Mon Oct 28 21:08:42 CLST 2024","Mon Oct 28 21:08:45 CLST 2024","2697","Default Suite","tecnova","tests.PurchaseFlowTest","tests.PurchaseFlowTest","step2_redirectToYourStore","Paso 2: Redirigir a 'Your Store'","Redirige al usuario a la página 'Your Store'."
"passed","Mon Oct 28 21:16:47 CLST 2024","Mon Oct 28 21:16:50 CLST 2024","3241","Default Suite","tecnova","tests.LoginTest","tests.LoginTest","invalidLoginTest","Prueba de login con credenciales incorrectas","Intenta iniciar sesión con credenciales incorrectas y verifica el mensaje de error."
"passed","Mon Oct 28 21:08:51 CLST 2024","Mon Oct 28 21:08:54 CLST 2024","2339","Default Suite","tecnova","tests.PurchaseFlowTest","tests.PurchaseFlowTest","step7_completeShippingDetails","Paso 7: Completar detalles de despacho","Completa los detalles de despacho y añade un comentario antes de continuar."
"passed","Mon Oct 28 21:08:50 CLST 2024","Mon Oct 28 21:08:51 CLST 2024","1578","Default Suite","tecnova","tests.PurchaseFlowTest","tests.PurchaseFlowTest","step6_completeBillingDetails","Paso 6: Completar detalles de facturación","Completa los detalles de facturación requeridos durante el proceso de compra."
"passed","Mon Oct 28 21:08:45 CLST 2024","Mon Oct 28 21:08:48 CLST 2024","3264","Default Suite","tecnova","tests.PurchaseFlowTest","tests.PurchaseFlowTest","step3_selectProducts","Paso 3: Seleccionar productos de la tienda","Selecciona productos de la tienda, incluyendo uno con opciones adicionales."
"passed","Mon Oct 28 21:08:48 CLST 2024","Mon Oct 28 21:08:49 CLST 2024","1569","Default Suite","tecnova","tests.PurchaseFlowTest","tests.PurchaseFlowTest","step4_removeFirstProductFromCart","Paso 4: Eliminar un producto del carrito","Accede al carrito de compras y elimina el primer producto de la lista."
"passed","Mon Oct 28 21:08:38 CLST 2024","Mon Oct 28 21:08:42 CLST 2024","3518","Default Suite","tecnova","tests.PurchaseFlowTest","tests.PurchaseFlowTest","step1_login","Paso 1: Iniciar sesión con credenciales válidas","Inicia sesión en la aplicación con credenciales válidas."
"passed","Mon Oct 28 21:08:56 CLST 2024","Mon Oct 28 21:08:57 CLST 2024","1058","Default Suite","tecnova","tests.PurchaseFlowTest","tests.PurchaseFlowTest","step10_clickContinueAfterConfirmation","Paso 10: Hacer clic en 'Continue' después de confirmar la orden","Hace clic en el botón 'Continue' después de la confirmación de la compra."
"passed","Mon Oct 28 21:08:58 CLST 2024","Mon Oct 28 21:08:58 CLST 2024","383","Default Suite","tecnova","tests.PurchaseFlowTest","tests.PurchaseFlowTest","step12_viewOrderDetails","Paso 12: Ver los detalles de la última orden realizada","Presiona sobre el icono de 'ojo' para ver los detalles de la última orden realizada."
"passed","Mon Oct 28 21:08:49 CLST 2024","Mon Oct 28 21:08:50 CLST 2024","339","Default Suite","tecnova","tests.PurchaseFlowTest","tests.PurchaseFlowTest","step5_proceedToCheckout","Paso 5: Proceder al checkout","Procede al proceso de pago desde el carrito."
"passed","Mon Oct 28 21:08:55 CLST 2024","Mon Oct 28 21:08:56 CLST 2024","1123","Default Suite","tecnova","tests.PurchaseFlowTest","tests.PurchaseFlowTest","step9_confirmOrder","Paso 9: Confirmar la orden","Confirma la orden y finaliza la compra."
"passed","Mon Oct 28 21:08:54 CLST 2024","Mon Oct 28 21:08:55 CLST 2024","1136","Default Suite","tecnova","tests.PurchaseFlowTest","tests.PurchaseFlowTest","step8_agreeToTermsAndContinue","Paso 8: Aceptar términos y condiciones","Acepta los términos y condiciones y continúa con el proceso de pago."
